,tag,new_tag
3196,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,"('IncomeBeforeTax', 3)"
3197,AvailableForSaleSecuritiesNoncurrent,"('TotalOtherLiabilitiesNoncurrent', 2)"
3198,AvailableForSaleSecuritiesNoncurrent,"('TotalOtherLiabilitiesNoncurrent', 2)"
3199,LongTermDebtFairValue,"('TotalLongTermDebt', 3)"
3200,LongTermDebtFairValue,"('TotalLongTermDebt', 3)"
3201,AvailableForSaleSecurities,"('NetIncomeFromContinuingOps', 1)"
3202,AvailableForSaleSecurities,"('NetIncomeFromContinuingOps', 1)"
3203,DebtInstrumentFaceAmount,"('TotalCurrentLongTermDebt', 2)"
3204,DebtInstrumentFaceAmount,"('TotalCurrentLongTermDebt', 2)"
3205,DerivativeNotionalAmount,"('TotalOtherIncomeExpenses', 1)"
3206,ResearchAndDevelopmentExpense,"('ResearchAndDevelopmentExpense', 10)"
3207,ResearchAndDevelopmentExpense,"('ResearchAndDevelopmentExpense', 10)"
3208,ResearchAndDevelopmentExpense,"('ResearchAndDevelopmentExpense', 10)"
3209,DebtInstrumentInterestRateEffectivePercentage,"('OtherMinorityInterest', 2)"
3210,DebtInstrumentInterestRateEffectivePercentage,"('OtherMinorityInterest', 2)"
3211,SeniorNotes,"('GrossProfit', 1)"
3212,SeniorNotes,"('GrossProfit', 1)"
3213,DebtInstrumentInterestRateStatedPercentage,"('OtherMinorityInterest', 2)"
3214,AvailableForSaleSecuritiesCurrent,"('CurrentLiabilitiesTotal', 2)"
3215,AvailableForSaleSecuritiesCurrent,"('CurrentLiabilitiesTotal', 2)"
3216,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,"('IncomeBeforeTax', 3)"
3217,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,"('IncomeBeforeTax', 3)"
3218,AvailableForSaleSecuritiesAmortizedCost,"('ResearchAndDevelopmentCost', 1)"
3219,AvailableForSaleSecuritiesAmortizedCost,"('ResearchAndDevelopmentCost', 1)"
3220,CashAndCashEquivalentsAtCarryingValue,"('CostsSellingAndAdministrativeExpenses', 2)"
3221,CashAndCashEquivalentsAtCarryingValue,"('CostsSellingAndAdministrativeExpenses', 2)"
3222,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,"('IncomeBeforeTax', 3)"
3223,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,"('IncomeBeforeTax', 3)"
3224,AvailableForSaleSecurities,"('NetIncomeFromContinuingOps', 1)"
3225,AvailableForSaleSecurities,"('NetIncomeFromContinuingOps', 1)"
3226,AvailableForSaleSecuritiesNoncurrent,"('TotalOtherLiabilitiesNoncurrent', 2)"
3227,AvailableForSaleSecuritiesNoncurrent,"('TotalOtherLiabilitiesNoncurrent', 2)"
3228,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,"('NetIncomeApplicableToCommonShares', 2)"
3229,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,"('NetIncomeApplicableToCommonShares', 2)"
3230,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,"('NetIncomeApplicableToCommonShares', 2)"
3231,CommonStockSharesOutstanding,"('NetIncomeApplicableToCommonShares', 4)"
3232,CommonStockSharesOutstanding,"('NetIncomeApplicableToCommonShares', 4)"
3233,CommonStockSharesOutstanding,"('NetIncomeApplicableToCommonShares', 4)"
3234,CommonStockSharesOutstanding,"('NetIncomeApplicableToCommonShares', 4)"
3235,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensationIncludingTransferPricing,"('NetIncomeApplicableToCommonShare', 2)"
3236,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensationIncludingTransferPricing,"('NetIncomeApplicableToCommonShare', 2)"
3237,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensationIncludingTransferPricing,"('NetIncomeApplicableToCommonShare', 2)"
3238,StockRepurchasedAndRetiredDuringPeriodShares,"('RedeemablePreferredStockShares', 3)"
3239,StockRepurchasedAndRetiredDuringPeriodShares,"('RedeemablePreferredStockShares', 3)"
3240,StockRepurchasedAndRetiredDuringPeriodShares,"('RedeemablePreferredStockShares', 3)"
3241,StockIssuedDuringPeriodValueShareBasedCompensationNetOfSharesWithheldForTaxes,"('NetIncomeApplicableToCommonShares', 4)"
3242,StockIssuedDuringPeriodValueShareBasedCompensationNetOfSharesWithheldForTaxes,"('NetIncomeApplicableToCommonShares', 4)"
3243,StockIssuedDuringPeriodValueShareBasedCompensationNetOfSharesWithheldForTaxes,"('NetIncomeApplicableToCommonShares', 4)"
3244,OtherComprehensiveIncomeLossNetOfTax,"('TotalOtherIncomeExpensesNet', 4)"
3245,OtherComprehensiveIncomeLossNetOfTax,"('TotalOtherIncomeExpensesNet', 4)"
3246,OtherComprehensiveIncomeLossNetOfTax,"('TotalOtherIncomeExpensesNet', 4)"
3247,DividendsAndDividendEquivalentsDeclaredOnCommonStockAndRestrictedStockUnits,"('PreferredStockAndOtherAdjustments', 4)"
3248,DividendsAndDividendEquivalentsDeclaredOnCommonStockAndRestrictedStockUnits,"('PreferredStockAndOtherAdjustments', 4)"
3249,DividendsAndDividendEquivalentsDeclaredOnCommonStockAndRestrictedStockUnits,"('PreferredStockAndOtherAdjustments', 4)"
3250,StockRepurchasedAndRetiredDuringPeriodValue,"('PreferredStockAndOtherAdjustments', 2)"
3251,StockRepurchasedAndRetiredDuringPeriodValue,"('PreferredStockAndOtherAdjustments', 2)"
3252,StockRepurchasedAndRetiredDuringPeriodValue,"('PreferredStockAndOtherAdjustments', 2)"
3253,NetIncomeLoss,"('NetOperatingIncomeLoss', 4)"
